Year,Death Rate,Injury Rate
1978,3.5,193.2
1979,3.4,178.1
1980,3.5,168.8
1981,3,166.6
1982,2.6,155.1
1983,2.5,156.9
1984,2.6,169.4
1985,2.4,172.9
1986,2.7,169.8
1987,2.4,158.6
1988,2.4,155
1989,2.2,144.8
1990,2.2,147.5
1991,2,135.6
1992,1.9,134.7
1993,1.7,143.1
1994,1.9,143.4
1995,1.9,139.2
1996,1.9,137.5
1997,1.9,131.4
1998,1.8,125.4
1999,1.6,118.7
2000,1.7,115.8
2001,1.6,110.5
2002,1.8,108.3
2003,1.8,103.6
2004,1.7,102.2
2005,1.8,98.4
2006,1.6,91.8
2007,1.4,88.2
2008,1.4,82.4
2009,1.3,79.2
2010,1.2,78.9
2011,1.1,74.3
2012,1.2,73.1
2013,1.1,72
2014,1.1,68.7
2015,1.2,75
